Membership No  Date Joined  Active  
    64405      2017-5-23    no    
    82544      2018-12-5    no    
    47269      2015-7-23    yes   
    67532      2017-1-24    no    
    18727      2019-6-25    no    
    67763      2017-7-9     no    
    18390      2019-11-11   yes   
    26041      2016-11-14   no    
    97256      2019-10-8    yes   
    20374      2015-3-4     yes   
    55206      2020-8-13    no    
    46967      2019-1-4     yes
    41547      2017-12-23   no    
    30126      2020-3-17    yes   
    51282      2015-5-19    no    
    81103      2019-8-5     no    
    41910      2016-10-10   no    
    45984      2017-10-19   no    
    67549      2016-10-6    yes   
    48184      2016-2-10    yes
